Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2023-24","Fall","FREC","4004","Professional Skills in Nat Res","Sullivan","3.88","87.5","0","0","12.5","0","0","0","0","0","0","0","0","0","8","90376","  1"
"2023-24","Fall","FREC","4004","Professional Skills in Nat Res","Gannon","3.88","87.5","0","0","12.5","0","0","0","0","0","0","0","0","0","8","90376","  1"
"2024-25","Fall","CS","5984","SS: Diversity Issues in CS","Seyam","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","91963","  1"
"2024-25","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","84579","  1"
"2023-24","Fall","CSES","3124","Soils Laboratory","Possinger","3.91","87.5","0","12.5","0","0","0","0","0","0","0","0","0","0","8","83596","  1"
"2024-25","Fall","IDS","3224","TS: AI Tools for Designers","Pfeiffer","3.88","87.5","0","0","12.5","0","0","0","0","0","0","0","0","0","8","86499","  1"
"2023-24","Fall","IDS","3234","TS: Ceramic Theory & Practice","Sullivan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86470","  1"
"2023-24","Fall","GEOS","6104","TS: Geophysics Seminar","King","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","91870","  1"
"2023-24","Fall","AOE","2994","Undergraduate Research","Sterne","3.59","37.5","37.5","12.5","0","0","12.5","0","0","0","0","0","0","0","8","80426","  1"
"2024-25","Fall","FST","4994","Undergraduate Research","Boyer","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","85803","  1"
"2023-24","Fall","ALCE","3494","Advanced Welding Technology","Mariger","3.79","66.7","22.2","0","0","11.1","0","0","0","0","0","0","0","0","9","90381","  1"
"2024-25","Fall","DASC","1464","Dairy Cattle Handling","Knowlton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","83637","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Wesche","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Smith","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Sanner","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Rice","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Katz","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Howell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2023-24","Fall","HD","5964","FW: Research Team","Hornburg","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","86160","  1"
"2024-25","Fall","HNFE","4964","Field Study","Eaton","4","100","0","0","0","0","0","0","0","0","0","0","0","0","8","92501","  1"
"2024-25","Fall","EDCT","4964","Field Study/Practicum","Sutphin","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","84621","  1"
"2023-24","Fall","GRAD","5124","Grad Library Research Skills","Becksford","3.97","88.9","11.1","0","0","0","0","0","0","0","0","0","0","0","9","86081","  1"
"2023-24","Fall","MUS","2334","High Brass Techniques","Bean","3.89","77.8","11.1","11.1","0","0","0","0","0","0","0","0","0","0","9","88212","  1"
"2024-25","Fall","NEUR","2974","Independent Study","Shah","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","88389","  1"
"2024-25","Fall","MUS","2554","Individual Applied Cello","Weinstein","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","88241","  1"
"2024-25","Fall","MUS","2524","Individual Applied Keyboard","Masters","3.82","77.8","11.1","0","0","11.1","0","0","0","0","0","0","0","0","9","88238","  1"
"2023-24","Fall","MUS","2644","Individual Applied Trumpet","Crafton","3.78","62.5","12.5","12.5","12.5","0","0","0","0","0","0","0","0","0","8","88228","  1"
"2024-25","Fall","MUS","2514","Individual Applied Voice","Thorsett","3.93","75","25","0","0","0","0","0","0","0","0","0","0","0","8","88234","  1"
"2023-24","Fall","MUS","3314","Instrumental Ensemble Music","Clark","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","88259","  1"
"2023-24","Fall","MSE","4424","Materials Laboratory II","Suchicital","3.87","55.6","44.4","0","0","0","0","0","0","0","0","0","0","0","9","88136","  1"
"2024-25","Fall","MSE","3064","Mech Behavior Matls Lab","McCord","3.16","11.1","22.2","22.2","22.2","11.1","0","0","11.1","0","0","0","0","0","9","88116","  1"
"2024-25","Fall","MSE","3064","Mech Behavior Matls Lab","Aidi","3.16","11.1","22.2","22.2","22.2","11.1","0","0","11.1","0","0","0","0","0","9","88116","  1"
"2024-25","Fall","NEUR","2036","Neuroscience Laboratory","McDaniel","3.33","22.2","22.2","33.3","0","11.1","0","11.1","0","0","0","0","0","0","9","90948","  1"
"2024-25","Fall","HNFE","1114","Orientation to HNFE","Engel","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","86290","  1"
"2023-24","Fall","HNFE","5394","Prof Pract Nutrition Dietetics","Larson-Meyer","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","86323","  1"
"2024-25","Fall","HNFE","5394","Prof Pract Nutrition Dietetics","Larson-Meyer","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","86356","  1"
"2024-25","Fall","HD","1984","SS: The Connection Project","Driscoll","3.89","88.9","0","0","11.1","0","0","0","0","0","0","0","0","0","9","91848","  1"
"2024-25","Fall","HD","1984","SS: The Connection Project","Driscoll","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","91849","  1"
"2024-25","Fall","ENGE","1984","SS: The Connection Project","Greene-Havas","3.97","88.9","11.1","0","0","0","0","0","0","0","0","0","0","0","9","91901","  1"
"2024-25","Fall","ARCH","2984","SS: The Creative Subject","Shaver","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","92517","  1"
"2023-24","Fall","EDCI","5844","STEM Education Seminar","Wells","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","84554","  1"
"2024-25","Fall","BCHM","5004","Seminar in Biochemistry","Mukhopadhyay","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","81550","  1"
"2024-25","Fall","BCHM","5004","Seminar in Biochemistry","Allen","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","81550","  1"
"2024-25","Fall","GRAD","5134","TS:  IGEP Remote Sensing","Wynne","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","86120","  1"
"2023-24","Fall","GRAD","5134","TS: IGEP Remote Sensing","Wynne","4","100","0","0","0","0","0","0","0","0","0","0","0","0","9","91566","  1"
